"Scenario";"TotalCost";"TotalCostPerVeh";"CostPerVehKM";"CostPerSeatKM";"CostPerPassKM";"PricePerPassKM";"overhead";"salaries";"deprecation";"maintenance";"cleaning";"tires";"fuel";"other_var";"interest";"insurance";"tax";"parking";"other_fix";"acquisition"
"A-S05-Taxi";181708.037378578;121.138691585718;0.499303857959509;0.124825964489877;0.402764882731176;0.450421103732371;0.0797957866228747;0;0;0.0336105356413247;0.117304188063085;0.0100831606923974;0.0510880141748135;0;0.00220678583609582;0.00337143452492689;0.00227571830432565;0.0294958377999542;0.00033714345249269;0.0731962776188848
"A-S06-RS";186661.787161472;186.661787161472;0.769373923750779;0.0961717404688474;0.366954131293602;0.410373128152624;0.0471810502029965;0;0;0.0397459674641105;0.117107588613991;0.00596189511961657;0.0490862698181764;0;0.00246050199961546;0.00239212361918506;0.00376759470021646;0.0174400762611211;0.000199343634932088;0.0816117198596402
"A-S07";244391.351877665;488.782703755331;1.03818591862094;0.0519092959310471;0.250848244901619;0.280529281926817;0.0123170436093264;0;0;0.0218130699935282;0.120579917202113;0.00302027122987313;0.0382567689117263;0;0.00132202430856371;0.000728566644402907;0.00154560209562617;0.00455289102158567;0.00286222610301142;0.0438498637818617
"A-S08";186869.293392523;93.4346466962617;0.241043446407422;0.241043446407422;0.301304308009277;0.336955441727124;0.0773942391598081;0;0;0.0173611111111111;0.0565195910969392;0.015625;0.059375;0;0.00127016117446173;0.00163498363119731;0.00105946939301585;0.0286081260868749;0.000326996726239461;0.0421296296296296
"A-S09-RS";237950.727345688;158.633818230459;0.409244788898722;0.102311197224681;0.212074858805713;0.2371681248112;0.0320851926034006;0;0;0.0215920952201173;0.0563932345064022;0.0064776285660352;0.0328199847345784;0;0.00141768433600332;0.00135562453432878;0.00091504656067193;0.011860020144709;0.000135562453432878;0.0470227851460333
"A-S09-Taxi";212255.633752819;141.503755835212;0.365052517370718;0.0912631293426794;0.320380702325622;0.358289006175287;0.0543387474800972;0;0;0.0365678780313078;0.0567218683376658;0.0109703634093923;0.0555831746075878;0;0.00240095772815803;0.00229585466913822;0.0015497019016683;0.020085858536623;0.000229585466913822;0.0796367121570703
"A-S10-RS";223656.11905071;223.65611905071;0.576989838912174;0.0721237298640217;0.299002069027964;0.334380795655731;0.0320851926034006;0;0;0.0431841904402347;0.0563932345064022;0.0064776285660352;0.0533324751936898;0;0.00267334760503484;0.00162674944119454;0.0025621303698814;0.011860020144709;0.000135562453432878;0.0886715377039485
"A-S11";129371.776455592;258.743552911184;0.667508680502221;0.033375434025111;0.345909863751812;0.386838846441825;0.0320851926034005;0;0;0.0467828729769209;0.0563932345064022;0.0064776285660352;0.0820499618364459;0;0.00283536867200664;0.0018978743480603;0.00402620486695649;0.011860020144709;0.00745593493880832;0.0940455702920666
"A-S12";291752.950596758;145.876475298379;0.146183314074622;0.146183314074622;0.182729142593277;0.204350144761424;0.0300631024520468;0;0;0.0173611111111111;0.00461891137975131;0.015625;0.059375;0;0.00127016117446173;0.000635094820308406;0.000411541443559847;0.0111125716183463;0.000127018964061681;0.0421296296296296
"A-S13-RS";381150.383150085;254.10025543339;0.25463473373951;0.0636586834348774;0.131943138740086;0.147555004741784;0.0124621493369264;0;0;0.0215902626483823;0.00461896173337007;0.00647707879451469;0.0328171992255411;0;0.00141756401381055;0.000526535576720089;0.00035541151428606;0.00460652812682988;5.26535576720089e-05;0.0470187942120326
